AED,Dirham de los Emiratos,Emiratos Árabes Unidos
RSD,Dinar serbio,Serbia
RUB,Rublo ruso,Rusia
RWF,Franco ruandés,Ruanda
SAR,Riyal saudí,Arabia Saudita
SBD,Dólar de las Islas Salomón,Islas Salomón
SCR,Rupia seychellense,Seychelles
SDG,Libra sudanesa,Sudán
SEK,Corona sueca,Suecia
SGD,Dólar de Singapur,Singapur
SHP,Libra de Santa Elena,Santa Elena
SLE,Leone sierraleonés,Sierra Leona
SOS,Chelín somalí,Somalia
SRD,Dólar surinamés,Surinam
SSP,Libra sursudanesa,Sudán del Sur
STN,Dobra de Santo Tomé y Príncipe,Santo Tomé y Príncipe
SYP,Libra siria,Siria
SZL,Lilangeni de Suazilandia,Suazilandia
THB,Baht tailandés,Tailandia
TJS,Somoni tayiko,Tayikistán
TMT,Manat turcomano,Turkmenistán
TND,Dinar tunecino,Túnez
TOP,Paʻanga tongano,Tonga
TRY,Lira turca,Turquía
TTD,Dólar de Trinidad y Tobago,Trinidad y Tobago
TVD,Dólar tuvaluano,Tuvalu
TWD,Nuevo dólar taiwanés,Taiwán
TZS,Chelín tanzano,Tanzania
UAH,Grivna ucraniana,Ucrania
UGX,Chelín ugandés,Uganda
USD,Dólar estadounidense,Estados Unidos
UYU,Peso uruguayo,Uruguay
UZS,So'm uzbeko,Uzbekistán
VES,Bolívar soberano venezolano,Venezuela
VND,Đồng vietnamita,Vietnam
VUV,Vatu vanuatuense,Vanuatu
WST,Tālā samoano,Samoa
XAF,Franco CFA de África Central,CEMAC
XCD,Dólar del Caribe Oriental,Organización de Estados del Caribe Oriental
XDR,Derechos Especiales de Giro,Fondo Monetario Internacional
XOF,Franco CFA de África Occidental,CFA
XPF,Franco CFP,Colectividades de Ultramar
YER,Rial yemení,Yemen
ZAR,Rand sudafricano,Sudáfrica
ZMW,Kwacha zambiano,Zambia
ZWL,Dólar zimbabuense,Zimbabue
